ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 DIP-563N|refseq:NP_003397|uniprotkb:P63104	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:7935795	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-478E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-743N|uniprotkb:P31946	 DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:7935795	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-479E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-369N|refseq:NP_035770|uniprotkb:P02340	 DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:7784054	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-480E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-516N|uniprotkb:Q06124	 DIP-502N|uniprotkb:Q14451	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8622870	taxid:10116	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-481E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-24N|uniprotkb:Q14205	 DIP-966N|refseq:NP_003089|uniprotkb:Q13424	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8612778	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-482E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-966N|refseq:NP_003089|uniprotkb:Q13424	 DIP-711N|refseq:NP_009055|uniprotkb:Q5SZ57	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8576247	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-483E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-160N|uniprotkb:Q91493	 DIP-966N|refseq:NP_003089|uniprotkb:Q13424	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8576247	taxid:7787	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-484E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-466N|refseq:NP_066301|uniprotkb:Q13884	 DIP-24N|uniprotkb:Q14205	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7844150	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-485E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-466N|refseq:NP_066301|uniprotkb:Q13884	 DIP-711N|refseq:NP_009055|uniprotkb:Q5SZ57	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7844150	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-486E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-466N|refseq:NP_066301|uniprotkb:Q13884	 DIP-160N|uniprotkb:Q91493	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7844150	taxid:9606	taxid:7787	MI:0218(physical interaction)	MI:0465(dip)	DIP-487E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-574N|uniprotkb:P05067	 DIP-574N|uniprotkb:P05067	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0040(electron microscopy)|MI:0018(two hybrid)	-	pmid:9889152|pmid:8700886|pmid:8700886	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-488E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-452N|refseq:NP_002036|uniprotkb:P17677	 DIP-538N|refseq:NP_001734|uniprotkb:P02593	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8872303	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-489E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-24227N|refseq:NP_005216|uniprotkb:Q01094	 DIP-724N|uniprotkb:Q08639	 -	 -	 -	-	MI:0071(molecular sieving)	-	pmid:8405995	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-493E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-238N|refseq:NP_009042|uniprotkb:Q14186	 DIP-258N|refseq:NP_004082|uniprotkb:Q14209	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)	-	pmid:7739537|pmid:8657117	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-494E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-294N|uniprotkb:Q14188	 DIP-258N|refseq:NP_004082|uniprotkb:Q14209	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:7739537	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-497E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-258N|refseq:NP_004082|uniprotkb:Q14209	 DIP-582N|refseq:NP_000312|uniprotkb:P06400	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pmid:7739537|pmid:8657117	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-499E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-582N|refseq:NP_000312|uniprotkb:P06400	 DIP-238N|refseq:NP_009042|uniprotkb:Q14186	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7739537	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-501E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-238N|refseq:NP_009042|uniprotkb:Q14186	 DIP-148N|uniprotkb:P28749	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7739537	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-502E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-294N|uniprotkb:Q14188	 DIP-582N|refseq:NP_000312|uniprotkb:P06400	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7739537	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-503E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-148N|uniprotkb:P28749	 DIP-294N|uniprotkb:Q14188	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:7739537	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-504E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-480N|uniprotkb:P06213	 DIP-516N|uniprotkb:Q06124	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8895367	taxid:9606	taxid:10116	MI:0218(physical interaction)	MI:0465(dip)	DIP-519E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-516N|uniprotkb:Q06124	 DIP-476N|refseq:NP_000866|uniprotkb:P08069	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8895367	taxid:10116	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-520E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-103N|uniprotkb:Q96Q89	 DIP-176N|uniprotkb:P30309	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8703070	taxid:9606	taxid:8355	MI:0218(physical interaction)	MI:0465(dip)	DIP-521E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-189N|refseq:NP_005179|uniprotkb:P22681	 DIP-1056N|uniprotkb:P07948	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:9160881	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-524E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-188N|uniprotkb:P20152	 DIP-109N|uniprotkb:P15924	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:9261168	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-525E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-109N|uniprotkb:P15924	 DIP-256N|refseq:NP_034173|uniprotkb:P31001	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:9261168	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-526E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-112N|refseq:NP_056623|uniprotkb:Q64507	 DIP-109N|uniprotkb:P15924	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:9261168	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-527E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-109N|uniprotkb:P15924	 DIP-424N|refseq:NP_002264|uniprotkb:P05787	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:9261168	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-528E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-633N|uniprotkb:P05783	 DIP-109N|uniprotkb:P15924	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:9261168	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-529E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-109N|uniprotkb:P15924	 DIP-303N|uniprotkb:Q9D646	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0013(biophysical)	-	pmid:7525601|pmid:7525601	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-530E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-109N|uniprotkb:P15924	 DIP-39N|refseq:NP_000415|uniprotkb:P13647	 -	 -	 -	-	MI:0013(biophysical)|MI:0045(experimental interaction detection)	-	pmid:7525601|pmid:7525601	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-531E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-109N|uniprotkb:P15924	 DIP-533N|refseq:NP_005545|uniprotkb:P02538	 -	 -	 -	-	MI:0013(biophysical)|MI:0045(experimental interaction detection)	-	pmid:7525601|pmid:7525601	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-532E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-633N|uniprotkb:P05783	 DIP-188N|uniprotkb:P20152	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8576158	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-534E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-424N|refseq:NP_002264|uniprotkb:P05787	 DIP-633N|uniprotkb:P05783	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8576158	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-535E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-74N|uniprotkb:P15923	 DIP-159N|refseq:NP_002470|uniprotkb:P15173	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:1325437	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-538E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-638N|refseq:NP_001228|uniprotkb:P20248	 DIP-1059N|uniprotkb:P12931	 -	 -	 -	-	MI:0013(biophysical)	-	pmid:8479754	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-543E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-123N|refseq:NP_444284|uniprotkb:P24385	 DIP-1059N|uniprotkb:P12931	 -	 -	 -	-	MI:0013(biophysical)	-	pmid:8479754	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-544E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-102N|refseq:NP_001817|uniprotkb:P61024	 DIP-123N|refseq:NP_444284|uniprotkb:P24385	 -	 -	 -	-	MI:0013(biophysical)	-	pmid:8479754	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-545E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-123N|refseq:NP_444284|uniprotkb:P24385	 DIP-35N|uniprotkb:P06493	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8479754	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-546E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-161N|refseq:NP_001789|uniprotkb:P24941	 DIP-123N|refseq:NP_444284|uniprotkb:P24385	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8479754	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-547E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-453N|uniprotkb:Q96TE0	 DIP-638N|refseq:NP_001228|uniprotkb:P20248	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:8684460	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-549E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-453N|uniprotkb:Q96TE0	 DIP-161N|refseq:NP_001789|uniprotkb:P24941	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:8684460	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-550E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-638N|refseq:NP_001228|uniprotkb:P20248	 DIP-161N|refseq:NP_001789|uniprotkb:P24941	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	-	pmid:10930425|pmid:7630397|pmid:12244298|pmid:7630397|pmid:10559988	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-551E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-875N|refseq:NP_000066|uniprotkb:P11802	 DIP-453N|uniprotkb:Q96TE0	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8822197	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-552E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-687N|refseq:NP_001250|uniprotkb:Q00534	 DIP-453N|uniprotkb:Q96TE0	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8822197	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-553E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-687N|refseq:NP_001250|uniprotkb:Q00534	 DIP-582N|refseq:NP_000312|uniprotkb:P06400	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8822197	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-554E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-875N|refseq:NP_000066|uniprotkb:P11802	 DIP-178N|refseq:NP_001750|uniprotkb:P30279	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9325318	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-555E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-453N|uniprotkb:Q96TE0	 DIP-178N|refseq:NP_001750|uniprotkb:P30279	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0013(biophysical)	-	pmid:9325318|pmid:9325318	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-556E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 DIP-1047N|refseq:NP_005243|uniprotkb:P01100	 -	 -	 -	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)	-	pmid:7685215|pmid:7685215	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-560E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 DIP-5961N|refseq:NP_002219|uniprotkb:P05412	 -	 -	 -	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)	-	pmid:7685215|pmid:7685215	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-561E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-457N|uniprotkb:P27824	 DIP-23N|refseq:NP_006507|uniprotkb:P11166	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8662691	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-562E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-23N|refseq:NP_006507|uniprotkb:P11166	 DIP-104N|refseq:NP_004334|uniprotkb:P27797	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8662691	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-563E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-520N|refseq:NP_001607|uniprotkb:P27037	 DIP-520N|refseq:NP_001607|uniprotkb:P27037	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8612709	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-565E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-212N|uniprotkb:Q04771	 DIP-520N|refseq:NP_001607|uniprotkb:P27037	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8612709	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-566E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-427N|refseq:NP_004293|uniprotkb:P36896	 DIP-520N|refseq:NP_001607|uniprotkb:P27037	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8612709	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-567E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-520N|refseq:NP_001607|uniprotkb:P27037	 DIP-423N|uniprotkb:P37023	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8612709	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-568E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-520N|refseq:NP_001607|uniprotkb:P27037	 DIP-252N|refseq:NP_031586|uniprotkb:P36898	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8612709	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-569E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-531N|refseq:NP_002728|uniprotkb:P17252	 DIP-186N|uniprotkb:P24588	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pmid:8599116|pmid:8599116	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-573E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-180N|uniprotkb:Q12802	 DIP-555N|uniprotkb:P12368	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pmid:8910553|pmid:8910553	taxid:9606	taxid:10116	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-576E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-554N|refseq:NP_002727|uniprotkb:P31323	 DIP-554N|refseq:NP_002727|uniprotkb:P31323	 -	 -	 -	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pmid:7829531|pmid:7829531	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-580E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-554N|refseq:NP_002727|uniprotkb:P31323	 DIP-172N|refseq:NP_776661|uniprotkb:P24275	 -	 -	 -	-	MI:0401(biochemical)|MI:0013(biophysical)	-	pmid:7829531|pmid:7829531	taxid:9606	taxid:9913	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-581E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-35N|uniprotkb:P06493	 DIP-547N|refseq:NP_777074|uniprotkb:P31322	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8516283	taxid:9606	taxid:9913	MI:0218(physical interaction)	MI:0465(dip)	DIP-582E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-547N|refseq:NP_777074|uniprotkb:P31322	 DIP-577N|uniprotkb:P11137	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:2254332	taxid:9913	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-583E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-186N|uniprotkb:P24588	 DIP-66N|refseq:NP_058738|uniprotkb:P20651	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:7528941	taxid:9606	taxid:10116	MI:0218(physical interaction)	MI:0465(dip)	DIP-584E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-95N|uniprotkb:P40189	 DIP-133N|uniprotkb:P23458	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pmid:9388212|pmid:9388212	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-585E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-95N|uniprotkb:P40189	 DIP-491N|refseq:NP_113702|uniprotkb:Q62689	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pmid:9388212|pmid:9388212	taxid:9606	taxid:10116	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-586E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1062N|refseq:NP_003322|uniprotkb:P29597	 DIP-95N|uniprotkb:P40189	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pmid:9388212|pmid:9388212	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-587E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-516N|uniprotkb:Q06124	 DIP-95N|uniprotkb:P40189	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9388212	taxid:10116	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-588E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-133N|uniprotkb:P23458	 DIP-57N|refseq:NP_000620|uniprotkb:P17181	 -	 -	 -	-	MI:0254(genetic interference)|MI:0401(biochemical)|MI:0018(two hybrid)	-	pmid:9334213|pmid:9334213|pmid:9334213	taxid:9606	taxid:9606	MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-593E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-57N|refseq:NP_000620|uniprotkb:P17181	 DIP-481N|uniprotkb:P01563	 -	 -	 -	-	MI:0401(biochemical)|MI:0254(genetic interference)	-	pmid:7592797|pmid:9334213	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0254(genetic interference)	MI:0465(dip)	DIP-594E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-320N|uniprotkb:Q62120	 DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8876196	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-600E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1058N|refseq:NP_002515|uniprotkb:P01111	 DIP-320N|uniprotkb:Q62120	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8876196	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-601E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1058N|refseq:NP_002515|uniprotkb:P01111	 DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0096(pull down)	-	pmid:8876196|pmid:18641128	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-602E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
